strat	taille	nbproc	temps	
glob	1024	12	    0.952461
glob 	1024	12	    0.966568
glob 	1024	12	    0.954234
glob 	10000	12	    6.422531
glob 	10000	12	    6.455715
glob 	10000	12	    6.443170
glob 	30000	12	   25.182330
glob 	30000	12	   25.123459
glob 	30000	12	   25.157569
ring	30000	12	   28.318228
ring	30000	12	   25.180123
ring	30000	12	   25.520040
ring	30000	12	   25.319539
ring	30000	12	   25.172315
ring	30000	12	   25.093199
ring	40000	12	   37.888051
ring	40000	12	   38.222400
ring	40000	12	   38.066759
ring	50000	12	   54.894140
ring	50000	12	   54.600229
ring	50000	12	   53.629652
ring	50000	12	   53.013078
ring	50000	12	   53.011469
ring	50000	12	   52.432408
ring	50000	12	   53.092603
ring	51000	12	   54.217439
ring	54000	12	   60.117481
ring	55000	12	   58.690490
ring	56000	12	   60.274976
ring	57000	12	   61.538530
ring	58000	12	   63.542273
ring	59000	12	   64.884250
ring	60000	12	   67.636740
ring	61000	12	   69.405462
ring	62000	12	   71.010082
ring	63000	12	   72.642397
ring	64000	12	   75.208374
ring	65000	12	   76.692675
ring	66000	12	   77.893064
ring	67000	12	   80.148799
ring	67000	12	   79.587883
ring	67000	12	   79.945488
ring	67000	12	   79.683110
ring	67000	12	   79.197494
ring	67000	12	   80.735743
ring	67000	12	   81.812451
ring	67000	12	   80.654411
ring	67000	12	   79.265887
ring	67000	12	   80.131312
ring	67000	12	   79.033768
glob	67000	12	   66.764175
glob	67000	12	   64.734345
glob	67000	12	   64.796186
glob	67000	12	   65.105575
glob	67000	12	   63.947500
glob	67000	12	   67.140607
glob	67000	12	   64.586285
glob	67000	12	   66.052556
glob	67000	12	   64.719424
glob	67000	12	   65.098793
fix	5000	1	    0.474780
fix	10000	1	    1.642925
fix	12000	1	    2.317105
fix	15000	1	    3.603625
ring	5000	12	    3.136827
ring	10000	12	    6.405939
ring	15000	12	   10.133184
ring	20000	12	   14.558933
ring	5000	12	    3.113449
ring	10000	12	    6.407416
ring	15000	12	   10.138746
ring	20000	12	   14.713527
ring	25000	12	   19.526115
ring	25000	12	   19.460671
ring	4000	1	    0.200801
ring	11000	1	    1.761775
ring	18000	1	    4.604272
ring	4000	1	    0.216677
glob	4000	1	    1.796811
ring	11000	1	    1.641565
glob	11000	1	   13.515395
ring	18000	1	    4.571940
glob	18000	1	   38.301685
ring	4000	4	    1.318563
glob	4000	4	    1.145608
ring	11000	4	    5.672006
glob	11000	4	    5.455745
ring	18000	4	   13.108377
glob	18000	4	   12.853570
ring	4000	7	    1.770859
glob	4000	7	    1.034739
ring	11000	7	    5.777587
glob	11000	7	    3.995764
ring	18000	7	   11.522581
glob	18000	7	    9.086390
ring	4000	10	    2.286333
glob	4000	10	    0.981542
ring	11000	10	    6.720264
glob	11000	10	    3.890510
ring	18000	10	   11.993049
glob	18000	10	    7.679512
ring	4000	4	    1.342895
glob	4000	4	    1.159818
ring	11000	4	    5.682578
glob	11000	4	    5.466804
ring	18000	4	   13.304913
glob	18000	4	   12.731648
ring	4000	7	    1.759310
glob	4000	7	    1.055800
ring	11000	7	    5.707305
glob	11000	7	    4.012762
ring	18000	7	   11.633205
glob	18000	7	    9.042672
ring	4000	10	    2.312824
glob	4000	10	    1.005087
ring	11000	10	    6.473906
glob	11000	10	    3.912389
ring	18000	10	   11.970055
glob	18000	10	    7.470999
ring	26000	4	   25.575775
glob	26000	4	   24.913255
ring	26000	7	   20.457699
glob	26000	7	   17.982623
ring	26000	10	   19.896235
glob	26000	10	   16.956847
